adam-hip,0.2,0.2002,0.0004,0.001998001998001998
lombscargle-hip,400.0,400.4,0.8,0.0019980019980019984
hausdorff-hip,30.0,30.029999999999998,0.06,0.001998001998001998
present-hip,200.0,200.2,0.4,0.0019980019980019984
asmooth-hip,0.012,0.012011999999999998,2.4e-05,0.0019980019980019984
jenkins-hash-hip,0.0007,0.0007007,1.4e-06,0.001998001998001998
mandelbrot-hip,0.25,0.25025,0.0005,0.0019980019980019984
hwt1d-hip,0.031,0.031030999999999996,6.2e-05,0.0019980019980019984
pool-hip,0.007,0.007006999999999999,1.4e-05,0.001998001998001998
overlap-hip,0.45,0.45044999999999996,0.0009000000000000001,0.0019980019980019984
radixsort-hip,0.0016,0.0016016,3.2000000000000003e-06,0.0019980019980019984
compute-score-hip,0.619,0.6196189999999999,0.001238,0.001998001998001998
keogh-hip,0.0051,0.0051051,1.02e-05,0.0019980019980019984
colorwheel-hip,0.093,0.093093,0.000186,0.001998001998001998
ss-hip,534.0,534.534,1.068,0.001998001998001998
haccmk-hip,0.0036,0.0036035999999999993,7.2e-06,0.0019980019980019984
swish-hip,54.4,54.45439999999999,0.1088,0.001998001998001998
sobel-hip,9.15,9.159149999999999,0.0183,0.0019980019980019984
sssp-hip,47.17,47.217169999999996,0.09434000000000001,0.0019980019980019984
hogbom-hip,0.05,0.05005,0.0001,0.001998001998001998
mrc-hip,6.83,6.836829999999999,0.01366,0.0019980019980019984
urng-hip,26.0,26.025999999999996,0.052000000000000005,0.0019980019980019984
overlay-hip,1.7,1.7016999999999998,0.0034,0.001998001998001998
nlll-hip,56.6,56.6566,0.11320000000000001,0.0019980019980019984
bscan-hip,1227.0,1228.2269999999999,2.454,0.0019980019980019984
mr-hip,1.28,1.28128,0.00256,0.001998001998001998
tqs-hip,2162.0,2164.162,4.324,0.001998001998001998
bfs-hip,2495.0,2497.495,4.99,0.001998001998001998
scan2-hip,399.3,399.6993,0.7986000000000001,0.0019980019980019984
gaussian-hip,147175.0,147322.175,294.35,0.0019980019980019984
