perplexity-cuda,1.0,1.001,0.002,0.0019980019980019984
stddev-cuda,1.0,1.001,0.002,0.0019980019980019984
softmax-cuda,1.0,1.001,0.002,0.0019980019980019984
tqs-cuda,100.0,100.1,0.2,0.0019980019980019984
swish-cuda,100.0,100.1,0.2,0.0019980019980019984
scan2-cuda,1000.0,1000.9999999999999,2.0,0.0019980019980019984
pnpoly-cuda,1.0,1.001,0.002,0.0019980019980019984
present-cuda,100.0,100.1,0.2,0.0019980019980019984
vanGenuchten-cuda,1.0,1.001,0.002,0.0019980019980019984
histogram-cuda,1.0,1.001,0.002,0.0019980019980019984
pool-cuda,1.0,1.001,0.002,0.0019980019980019984
stencil1d-cuda,1.0,1.001,0.002,0.0019980019980019984
nlll-cuda,10.0,10.009999999999998,0.02,0.0019980019980019984
radixsort-cuda,1.0,1.001,0.002,0.0019980019980019984
hwt1d-cuda,1.0,1.001,0.002,0.0019980019980019984
shuffle-cuda,1.0,1.001,0.002,0.0019980019980019984
nw-cuda,1.0,1.001,0.002,0.0019980019980019984
pad-cuda,1.0,1.001,0.002,0.0019980019980019984
all-pairs-distance-cuda,1.0,1.001,0.002,0.0019980019980019984
bitonic-sort-cuda,1.0,1.001,0.002,0.0019980019980019984
mr-cuda,10.0,10.009999999999998,0.02,0.0019980019980019984
asmooth-cuda,1.0,1.001,0.002,0.0019980019980019984
entropy-cuda,1.0,1.001,0.002,0.0019980019980019984
maxpool3d-cuda,1.0,1.001,0.002,0.0019980019980019984
minkowski-cuda,1.0,1.001,0.002,0.0019980019980019984
boxfilter-cuda,1000.0,1000.9999999999999,2.0,0.0019980019980019984
f16max-cuda,1.0,1.001,0.002,0.0019980019980019984
gaussian-cuda,1000.0,1000.9999999999999,2.0,0.0019980019980019984
overlay-cuda,10.0,10.009999999999998,0.02,0.0019980019980019984
compute-score-cuda,1.0,1.001,0.002,0.0019980019980019984
dct8x8-cuda,1.0,1.001,0.002,0.0019980019980019984
bscan-cuda,1000.0,1000.9999999999999,2.0,0.0019980019980019984
mrc-cuda,10.0,10.009999999999998,0.02,0.0019980019980019984
floydwarshall-cuda,1.0,1.001,0.002,0.0019980019980019984
murmurhash3-cuda,1.0,1.001,0.002,0.0019980019980019984
mandelbrot-cuda,1.0,1.001,0.002,0.0019980019980019984
bilateral-cuda,1.0,1.001,0.002,0.0019980019980019984
hybridsort-cuda,1.0,1.001,0.002,0.0019980019980019984
layout-cuda,100.0,100.1,0.2,0.0019980019980019984
chemv-cuda,1000.0,1000.9999999999999,2.0,0.0019980019980019984
romberg-cuda,50.0,50.05,0.1,0.0019980019980019984
lfib4-cuda,1.0,1.001,0.002,0.0019980019980019984
lombscargle-cuda,100.0,100.1,0.2,0.0019980019980019984
hausdorff-cuda,100.0,100.1,0.2,0.0019980019980019984
jenkins-hash-cuda,1.0,1.001,0.002,0.0019980019980019984
fft-cuda,50.0,50.05,0.1,0.0019980019980019984
is-cuda,50.0,50.05,0.1,0.0019980019980019984
rsbench-cuda,50.0,50.05,0.1,0.0019980019980019984
haccmk-cuda,1.0,1.001,0.002,0.0019980019980019984
minisweep-cuda,50.0,50.05,0.1,0.0019980019980019984
tsa-cuda,50.0,50.05,0.1,0.0019980019980019984
